cob_bo_se_eu_asth, cob_bo_se_eu_lc_copd_emph, cob_tot_asth, cob_bo_se_asia_asth, cob_bo_sc_asia_lc_copd_emph, cob_bo_ne_asia_lc_copd_emph, cob_bo_ne_asia_asth, gccsa_code_2021, cob_bo_ss_afr_lc_copd_emph, cob_bo_uk_ci_im_asth, cob_bo_ss_afr_asth, lfs_emp_asth, cob_bo_nw_eu_lc_copd_emph, cob_bo_uk_ci_im_lc_copd_emph, cob_bo_sc_asia_asth, cob_bo_amer_asth, cob_bo_na_me_asth, cob_bo_nw_eu_asth, cob_aus_asth, cob_bo_ocea_ant_asth, cob_bo_na_me_lc_copd_emph, cob_tot_lc_copd_emph, cob_bo_se_asia_lc_copd_emph, cob_bo_ocea_ant_lc_copd_emph, cob_bo_amer_lc_copd_emph, cob_aus_lc_copd_emph, cob_bo_tot_ob_asth, cob_bo_tot_ob_lc_copd_emph
32263,4660,353656,13731,1007,1737,6737,"1GSYD",554,14265,4138,176461,1486,4780,9920,6069,22249,3876,263188,11326,3015,63101,1765,1966,835,40132,88368,21806
7675,1251,271403,1741,138,88,405,"1RNSW",200,8130,1075,122833,1381,4966,829,1681,952,1841,246105,3728,141,72543,239,1228,358,60438,21667,9994
47181,6320,386347,16467,1149,840,5023,"2GMEL",540,14896,4701,208830,1723,5290,12334,4838,11168,4004,292521,10388,1366,58925,1318,1257,475,37523,91496,20287
4883,818,156014,1184,70,29,207,"2RVIC",74,5142,538,73533,1011,2886,642,698,455,1362,140299,2002,65,38195,105,526,146,31287,13405,5734
4755,803,224233,4221,293,260,1668,"3GBRI",400,9839,2622,116657,1111,4449,2335,2268,973,2086,182163,13141,140,46859,503,2714,336,35004,40601,11007
4412,803,212875,2166,144,107,634,"3RQLD",413,8791,1853,102552,1340,5059,838,1776,693,1869,181605,9542,145,59756,315,2984,421,46620,29017,11730
10219,1446,121331,2593,189,96,637,"4GADE",125,8693,780,60136,858,4372,1536,916,1159,1371,99461,1220,152,25546,318,297,137,17031,20816,7994
790,144,37619,185,14,0,27,"4RSAU",30,1984,122,16482,282,1261,69,104,36,319,33572,341,0,10432,27,127,20,8168,3384,1916
8183,1288,155026,5547,522,138,777,"5GPER",636,15596,4069,82550,1065,6948,2348,1693,1336,2295,113226,5443,171,32447,740,1149,294,18949,40854,12958
630,120,39893,383,23,6,52,"5RWAU",83,2496,565,20169,237,1366,109,216,47,372,33597,1419,8,9532,48,369,59,6959,5787,2310
475,49,21649,149,11,7,94,"6GHOB",22,873,124,10485,88,380,120,187,57,169,19272,250,6,4835,20,49,25,4002,2128,669
309,55,30398,144,25,6,51,"6RTAS",32,1186,109,12927,179,764,105,167,35,231,27371,376,8,9157,17,142,38,7537,2473,1277
284,52,8465,416,12,5,44,"7GDAR",9,301,83,5102,50,148,137,76,23,104,6878,243,8,1719,52,62,12,1276,1513,410
20,8,4429,69,0,0,7,"7RNTE",4,113,25,2318,8,50,26,37,6,34,3906,158,0,942,7,32,0,819,492,114
1850,290,40783,1071,84,62,402,"8ACTE",27,1525,366,24215,216,580,863,668,281,482,33743,760,35,5990,104,100,92,4317,6897,1583
0,0,268,20,0,0,0,"9OTER",0,8,0,155,0,3,0,5,0,0,200,32,0,55,0,10,0,39,71,14
