tpi_wk_1000_1749_lc_copd_emph, lfs_emp_lc_copd_emph, tpi_wk_1750_2999_asth, tpi_wk_650_999_lc_copd_emph, tpi_wk_300_649_asth, gccsa_code_2021, tpi_wk_1_299_lc_copd_emph, tpi_wk_nni_asth, lfs_nlf_asth, tpi_wk_300_649_lc_copd_emph, tpi_wk_1000_1749_asth, lfs_unemp_asth, tpi_wk_3000_more_lc_copd_emph, cana_hna_asth, lfs_ns_lc_copd_emph, tpi_wk_3000_more_asth, lfs_tot_asth, tpi_wk_nni_lc_copd_emph, tpi_wk_1750_2999_lc_copd_emph, lfs_nlf_lc_copd_emph, lfs_tot_lc_copd_emph, lfs_unemp_lc_copd_emph, tpi_wk_1_299_asth, tpi_wk_650_999_asth, cana_hna_lc_copd_emph, lfs_ns_asth
6848,11346,43684,7614,69362,"1GSYD",5786,27466,111035,30627,65574,9192,1515,30837,1366,22566,298972,4602,2876,48823,62355,815,24466,41031,21109,2285
6393,11878,21755,8854,75257,"1RNSW",6286,15300,97007,41176,45626,6876,775,30774,1571,6310,229102,3591,1809,57388,71866,1025,20588,38858,22565,2384
6429,11390,45787,7411,78964,"2GMEL",5272,28583,111340,28964,78210,11589,1171,34899,1034,19206,333940,4123,2423,44921,58180,829,29056,48552,20149,2179
3250,6458,11487,4693,43833,"2RVIC",3483,9081,55166,21408,27371,3876,429,17931,874,3341,134048,1840,873,29952,37847,566,12651,22854,12121,1474
5039,9110,24043,5788,52333,"3GBRI",3976,14355,68577,24401,43836,7522,695,22624,705,8314,194036,2667,1737,35340,45913,753,16382,31738,15181,1272
5751,11014,17377,7323,57126,"3RQLD",5396,13005,72271,32542,38128,6560,727,23871,1144,5380,183141,3181,1777,45641,58913,1118,16385,31858,18799,1753
2437,4202,11261,3244,31622,"4GADE",2293,7127,41366,14010,24040,3975,344,13496,417,3261,106226,1200,769,20122,25162,415,10218,16987,8572,751
806,1697,2284,1235,12090,"4RSAU",1043,2107,14903,6098,5884,1046,89,4621,187,601,32749,443,206,8232,10327,212,3386,5616,3307,318
3581,6631,18728,3917,33127,"5GPER",3053,11227,44388,16126,29302,5091,624,12438,494,7640,132839,2119,1436,24285,31967,559,12204,18660,9197,812
956,2122,4330,1072,9439,"5RWAU",939,2619,12294,4975,6903,1042,147,3433,183,1425,33843,541,394,6913,9382,157,3268,5145,2573,339
506,775,2035,625,5680,"6GHOB",414,1183,7507,2639,4359,682,52,2341,103,517,18802,221,110,3834,4777,63,1741,2982,1582,129
728,1566,1755,1019,9784,"6RTAS",894,1723,11927,5472,4785,987,98,3924,207,446,26137,367,187,7160,9110,174,2688,4388,2854,300
269,525,1420,212,1313,"7GDAR",136,459,1825,708,2117,224,40,607,27,354,7211,110,134,1060,1650,39,500,959,446,56
107,252,619,72,906,"7RNTE",184,196,1368,375,922,155,23,352,16,124,3890,43,53,582,882,32,605,413,232,47
1164,1368,8470,956,5837,"8ACTE",483,1996,10026,2166,9325,955,198,3173,69,2669,35307,266,534,4395,5913,88,2537,4220,1750,114
6,18,30,6,61,"9OTER",6,18,72,24,57,7,3,10,0,0,236,6,0,32,54,0,18,28,4,3
