gccsa_code,gccsa_name,Weekly income (1000-1749) COPD,Employed COPD,Weekly income (1750-2999) asthma,Weekly income (650-999) COPD,Weekly income (300-649) asthma,Weekly income (1-299) COPD,Weekly income (nil) asthma,Weekly income (300-649) COPD,Weekly income (1000-1749) asthma,Unemployed asthma,Weekly income (3000+) COPD,Assistance needed asthma,Weekly income (3000+) asthma,Total asthma,Weekly income (nil) COPD,Weekly income (1750-2999) COPD,Total COPD,Unemployed COPD,Weekly income (1-299) asthma,Weekly income (650-999) asthma,Assistance needed COPD
1GSYD,Greater Sydney,6848,11346,43684,7614,69362,5786,27466,30627,65574,9192,1515,30837,22566,298972,4602,2876,62355,815,24466,41031,21109
1RNSW,Rest of NSW,6393,11878,21755,8854,75257,6286,15300,41176,45626,6876,775,30774,6310,229102,3591,1809,71866,1025,20588,38858,22565
2GMEL,Greater Melbourne,6429,11390,45787,7411,78964,5272,28583,28964,78210,11589,1171,34899,19206,333940,4123,2423,58180,829,29056,48552,20149
2RVIC,Rest of Vic,3250,6458,11487,4693,43833,3483,9081,21408,27371,3876,429,17931,3341,134048,1840,873,37847,566,12651,22854,12121
3GBRI,Greater Brisbane,5039,9110,24043,5788,52333,3976,14355,24401,43836,7522,695,22624,8314,194036,2667,1737,45913,753,16382,31738,15181
3RQLD,Rest of Qld,5751,11014,17377,7323,57126,5396,13005,32542,38128,6560,727,23871,5380,183141,3181,1777,58913,1118,16385,31858,18799
4GADE,Greater Adelaide,2437,4202,11261,3244,31622,2293,7127,14010,24040,3975,344,13496,3261,106226,1200,769,25162,415,10218,16987,8572
4RSAU,Rest of SA,806,1697,2284,1235,12090,1043,2107,6098,5884,1046,89,4621,601,32749,443,206,10327,212,3386,5616,3307
5GPER,Greater Perth,3581,6631,18728,3917,33127,3053,11227,16126,29302,5091,624,12438,7640,132839,2119,1436,31967,559,12204,18660,9197
5RWAU,Rest of WA,956,2122,4330,1072,9439,939,2619,4975,6903,1042,147,3433,1425,33843,541,394,9382,157,3268,5145,2573
6GHOB,Greater Hobart,506,775,2035,625,5680,414,1183,2639,4359,682,52,2341,517,18802,221,110,4777,63,1741,2982,1582
6RTAS,Rest of Tas,728,1566,1755,1019,9784,894,1723,5472,4785,987,98,3924,446,26137,367,187,9110,174,2688,4388,2854
7GDAR,Greater Darwin,269,525,1420,212,1313,136,459,708,2117,224,40,607,354,7211,110,134,1650,39,500,959,446
7RNTE,Rest of NT,107,252,619,72,906,184,196,375,922,155,23,352,124,3890,43,53,882,32,605,413,232
8ACTE,Australian Capital Territory,1164,1368,8470,956,5837,483,1996,2166,9325,955,198,3173,2669,35307,266,534,5913,88,2537,4220,1750
