Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,023000,1839,01,11.5,Y
IDCJAC0001,023000,1839,02,11.4,Y
IDCJAC0001,023000,1839,03,20.8,Y
IDCJAC0001,023000,1839,04,10.5,Y
IDCJAC0001,023000,1839,05,4.8,Y
IDCJAC0001,023000,1839,06,90.4,Y
IDCJAC0001,023000,1839,07,54.2,Y
IDCJAC0001,023000,1839,08,97.4,Y
IDCJAC0001,023000,1839,09,41.4,Y
IDCJAC0001,023000,1839,10,40.8,Y
IDCJAC0001,023000,1839,11,113.2,Y
IDCJAC0001,023000,1839,12,8.9,Y
IDCJAC0001,023000,1840,01,8.4,Y
IDCJAC0001,023000,1840,02,51.1,Y
IDCJAC0001,023000,1840,03,14.3,Y
IDCJAC0001,023000,1840,04,27.0,Y
IDCJAC0001,023000,1840,05,41.4,Y
IDCJAC0001,023000,1840,06,82.6,Y
IDCJAC0001,023000,1840,07,48.2,Y
IDCJAC0001,023000,1840,08,74.6,Y
IDCJAC0001,023000,1840,09,118.3,Y
IDCJAC0001,023000,1840,10,47.4,Y
IDCJAC0001,023000,1840,11,5.8,Y
IDCJAC0001,023000,1840,12,97.0,Y
IDCJAC0001,023000,1841,01,11.5,Y
IDCJAC0001,023000,1841,02,5.6,Y
IDCJAC0001,023000,1841,03,23.9,Y
IDCJAC0001,023000,1841,04,90.8,Y
IDCJAC0001,023000,1841,05,43.5,Y
IDCJAC0001,023000,1841,06,59.0,Y
IDCJAC0001,023000,1841,07,17.7,Y
IDCJAC0001,023000,1841,08,73.2,Y
IDCJAC0001,023000,1841,09,52.1,Y
IDCJAC0001,023000,1841,10,23.9,Y
IDCJAC0001,023000,1841,11,12.0,Y
IDCJAC0001,023000,1841,12,43.5,Y
IDCJAC0001,023000,1842,01,9.4,Y
IDCJAC0001,023000,1842,02,18.1,Y
IDCJAC0001,023000,1842,03,25.6,Y
IDCJAC0001,023000,1842,04,46.0,Y
IDCJAC0001,023000,1842,05,52.0,Y
IDCJAC0001,023000,1842,06,55.3,Y
IDCJAC0001,023000,1842,07,56.6,Y
IDCJAC0001,023000,1842,08,62.3,Y
IDCJAC0001,023000,1842,09,53.0,Y
IDCJAC0001,023000,1842,10,73.7,Y
IDCJAC0001,023000,1842,11,27.6,Y
IDCJAC0001,023000,1842,12,36.8,Y
IDCJAC0001,023000,1843,01,5.3,Y
IDCJAC0001,023000,1843,02,13.7,Y
IDCJAC0001,023000,1843,03,15.0,Y
IDCJAC0001,023000,1843,04,27.0,Y
IDCJAC0001,023000,1843,05,67.0,Y
IDCJAC0001,023000,1843,06,46.6,Y
IDCJAC0001,023000,1843,07,84.9,Y
IDCJAC0001,023000,1843,08,60.6,Y
IDCJAC0001,023000,1843,09,27.6,Y
IDCJAC0001,023000,1843,10,41.6,Y
IDCJAC0001,023000,1843,11,5.0,Y
IDCJAC0001,023000,1843,12,40.4,Y
IDCJAC0001,023000,1844,01,13.3,Y
IDCJAC0001,023000,1844,02,4.5,Y
IDCJAC0001,023000,1844,03,17.0,Y
IDCJAC0001,023000,1844,04,44.4,Y
IDCJAC0001,023000,1844,05,44.0,Y
IDCJAC0001,023000,1844,06,31.9,Y
IDCJAC0001,023000,1844,07,93.2,Y
IDCJAC0001,023000,1844,08,53.7,Y
IDCJAC0001,023000,1844,09,52.8,Y
IDCJAC0001,023000,1844,10,33.4,Y
IDCJAC0001,023000,1844,11,23.1,Y
IDCJAC0001,023000,1844,12,21.0,Y
IDCJAC0001,023000,1845,01,3.3,Y
IDCJAC0001,023000,1845,02,8.2,Y
IDCJAC0001,023000,1845,03,6.6,Y
IDCJAC0001,023000,1845,04,14.0,Y
IDCJAC0001,023000,1845,05,60.4,Y
IDCJAC0001,023000,1845,06,99.9,Y
IDCJAC0001,023000,1845,07,54.0,Y
IDCJAC0001,023000,1845,08,86.2,Y
IDCJAC0001,023000,1845,09,39.2,Y
IDCJAC0001,023000,1845,10,40.2,Y
IDCJAC0001,023000,1845,11,32.6,Y
IDCJAC0001,023000,1845,12,33.9,Y
IDCJAC0001,023000,1846,01,3.8,Y
IDCJAC0001,023000,1846,02,59.0,Y
IDCJAC0001,023000,1846,03,16.8,Y
IDCJAC0001,023000,1846,04,63.9,Y
IDCJAC0001,023000,1846,05,90.8,Y
IDCJAC0001,023000,1846,06,47.9,Y
IDCJAC0001,023000,1846,07,98.7,Y
IDCJAC0001,023000,1846,08,67.1,Y
IDCJAC0001,023000,1846,09,65.8,Y
IDCJAC0001,023000,1846,10,57.0,Y
IDCJAC0001,023000,1846,11,75.0,Y
IDCJAC0001,023000,1846,12,4.1,Y
IDCJAC0001,023000,1847,01,38.6,Y
IDCJAC0001,023000,1847,02,0.8,Y
IDCJAC0001,023000,1847,03,41.0,Y
IDCJAC0001,023000,1847,04,34.0,Y
IDCJAC0001,023000,1847,05,67.9,Y
IDCJAC0001,023000,1847,06,194.5,Y
IDCJAC0001,023000,1847,07,128.0,Y
IDCJAC0001,023000,1847,08,44.9,Y
IDCJAC0001,023000,1847,09,58.1,Y
IDCJAC0001,023000,1847,10,18.3,Y
IDCJAC0001,023000,1847,11,30.4,Y
IDCJAC0001,023000,1847,12,43.5,Y
IDCJAC0001,023000,1848,01,0.0,Y
IDCJAC0001,023000,1848,02,0.0,Y
IDCJAC0001,023000,1848,03,24.7,Y
IDCJAC0001,023000,1848,04,19.1,Y
IDCJAC0001,023000,1848,05,56.7,Y
IDCJAC0001,023000,1848,06,33.5,Y
IDCJAC0001,023000,1848,07,57.8,Y
IDCJAC0001,023000,1848,08,73.7,Y
IDCJAC0001,023000,1848,09,84.6,Y
IDCJAC0001,023000,1848,10,67.0,Y
IDCJAC0001,023000,1848,11,67.7,Y
IDCJAC0001,023000,1848,12,17.0,Y
IDCJAC0001,023000,1849,01,0.0,Y
IDCJAC0001,023000,1849,02,7.4,Y
IDCJAC0001,023000,1849,03,15.4,Y
IDCJAC0001,023000,1849,04,58.1,Y
IDCJAC0001,023000,1849,05,44.8,Y
IDCJAC0001,023000,1849,06,185.1,Y
IDCJAC0001,023000,1849,07,95.0,Y
IDCJAC0001,023000,1849,08,93.9,Y
IDCJAC0001,023000,1849,09,64.6,Y
IDCJAC0001,023000,1849,10,12.8,Y
IDCJAC0001,023000,1849,11,57.2,Y
IDCJAC0001,023000,1849,12,12.7,Y
IDCJAC0001,023000,1850,01,67.8,Y
IDCJAC0001,023000,1850,02,35.1,Y
IDCJAC0001,023000,1850,03,8.4,Y
IDCJAC0001,023000,1850,04,22.9,Y
IDCJAC0001,023000,1850,05,45.8,Y
IDCJAC0001,023000,1850,06,95.7,Y
IDCJAC0001,023000,1850,07,19.3,Y
IDCJAC0001,023000,1850,08,40.6,Y
IDCJAC0001,023000,1850,09,54.7,Y
IDCJAC0001,023000,1850,10,18.3,Y
IDCJAC0001,023000,1850,11,45.8,Y
IDCJAC0001,023000,1850,12,40.6,Y
IDCJAC0001,023000,1851,01,5.4,Y
IDCJAC0001,023000,1851,02,3.8,Y
IDCJAC0001,023000,1851,03,24.2,Y
IDCJAC0001,023000,1851,04,38.6,Y
IDCJAC0001,023000,1851,05,160.6,Y
IDCJAC0001,023000,1851,06,91.2,Y
IDCJAC0001,023000,1851,07,128.1,Y
IDCJAC0001,023000,1851,08,131.4,Y
IDCJAC0001,023000,1851,09,76.1,Y
IDCJAC0001,023000,1851,10,29.5,Y
IDCJAC0001,023000,1851,11,91.1,Y
IDCJAC0001,023000,1851,12,6.4,Y
IDCJAC0001,023000,1852,01,38.1,Y
IDCJAC0001,023000,1852,02,10.2,Y
IDCJAC0001,023000,1852,03,0.8,Y
IDCJAC0001,023000,1852,04,50.9,Y
