Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,070246,1968,01,53.2,Y
IDCJAC0001,070246,1968,02,0.0,Y
IDCJAC0001,070246,1968,03,25.5,Y
IDCJAC0001,070246,1968,04,43.7,Y
IDCJAC0001,070246,1968,05,153.7,Y
IDCJAC0001,070246,1968,06,32.0,Y
IDCJAC0001,070246,1968,07,27.5,Y
IDCJAC0001,070246,1968,08,62.9,Y
IDCJAC0001,070246,1968,09,14.9,Y
IDCJAC0001,070246,1968,10,59.5,Y
IDCJAC0001,070246,1968,11,42.4,Y
IDCJAC0001,070246,1968,12,92.9,Y
IDCJAC0001,070246,1969,01,10.2,Y
IDCJAC0001,070246,1969,02,107.8,Y
IDCJAC0001,070246,1969,03,56.9,Y
IDCJAC0001,070246,1969,04,102.9,Y
IDCJAC0001,070246,1969,05,53.5,Y
IDCJAC0001,070246,1969,06,53.4,Y
IDCJAC0001,070246,1969,07,49.3,Y
IDCJAC0001,070246,1969,08,50.8,Y
IDCJAC0001,070246,1969,09,26.0,Y
IDCJAC0001,070246,1969,10,125.5,Y
IDCJAC0001,070246,1969,11,79.3,Y
IDCJAC0001,070246,1969,12,39.4,Y
IDCJAC0001,070246,1970,01,84.1,Y
IDCJAC0001,070246,1970,02,69.1,Y
IDCJAC0001,070246,1970,03,64.1,Y
IDCJAC0001,070246,1970,04,63.5,Y
IDCJAC0001,070246,1970,05,26.9,Y
IDCJAC0001,070246,1970,06,27.5,Y
IDCJAC0001,070246,1970,07,3.6,Y
IDCJAC0001,070246,1970,08,69.1,Y
IDCJAC0001,070246,1970,09,130.3,Y
IDCJAC0001,070246,1970,10,26.1,Y
IDCJAC0001,070246,1970,11,96.6,Y
IDCJAC0001,070246,1970,12,85.5,Y
IDCJAC0001,070246,1971,01,105.4,Y
IDCJAC0001,070246,1971,02,152.4,Y
IDCJAC0001,070246,1971,03,15.3,Y
IDCJAC0001,070246,1971,04,20.6,Y
IDCJAC0001,070246,1971,06,0.6,Y
IDCJAC0001,070246,1971,07,17.1,Y
IDCJAC0001,070246,1971,08,49.6,Y
IDCJAC0001,070246,1971,09,39.5,Y
IDCJAC0001,070246,1971,10,43.3,Y
IDCJAC0001,070246,1971,11,79.9,Y
IDCJAC0001,070246,1971,12,121.7,Y
IDCJAC0001,070246,1972,01,92.1,Y
