Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,014163,1884,01,482.4,Y
IDCJAC0001,014163,1884,02,463.0,Y
IDCJAC0001,014163,1884,03,292.3,Y
IDCJAC0001,014163,1884,04,41.3,Y
IDCJAC0001,014163,1884,05,0.0,Y
IDCJAC0001,014163,1884,06,0.0,Y
IDCJAC0001,014163,1884,07,0.0,Y
IDCJAC0001,014163,1884,08,0.0,Y
IDCJAC0001,014163,1884,09,34.3,Y
IDCJAC0001,014163,1884,10,36.1,Y
IDCJAC0001,014163,1884,11,121.0,Y
IDCJAC0001,014163,1884,12,163.0,Y
IDCJAC0001,014163,1885,01,434.0,Y
IDCJAC0001,014163,1885,02,474.5,Y
IDCJAC0001,014163,1885,03,434.1,Y
IDCJAC0001,014163,1885,04,28.2,Y
IDCJAC0001,014163,1885,05,1.5,Y
IDCJAC0001,014163,1885,06,0.0,Y
IDCJAC0001,014163,1885,07,0.0,Y
IDCJAC0001,014163,1885,08,0.5,Y
IDCJAC0001,014163,1885,09,65.9,Y
IDCJAC0001,014163,1885,10,27.7,Y
IDCJAC0001,014163,1885,11,134.3,Y
IDCJAC0001,014163,1885,12,542.5,Y
IDCJAC0001,014163,1886,01,195.2,Y
IDCJAC0001,014163,1886,02,433.0,Y
IDCJAC0001,014163,1886,03,246.6,Y
IDCJAC0001,014163,1886,04,13.7,Y
IDCJAC0001,014163,1886,05,43.4,Y
IDCJAC0001,014163,1886,06,0.0,Y
IDCJAC0001,014163,1886,07,0.0,Y
IDCJAC0001,014163,1886,08,6.8,Y
IDCJAC0001,014163,1886,09,28.4,Y
IDCJAC0001,014163,1886,10,8.9,Y
IDCJAC0001,014163,1886,11,88.2,Y
IDCJAC0001,014163,1886,12,253.0,Y
IDCJAC0001,014163,1887,01,300.0,Y
IDCJAC0001,014163,1887,02,470.8,Y
IDCJAC0001,014163,1887,03,73.0,Y
IDCJAC0001,014163,1887,04,300.1,Y
IDCJAC0001,014163,1887,05,10.4,Y
IDCJAC0001,014163,1887,06,0.0,Y
IDCJAC0001,014163,1887,07,0.0,Y
IDCJAC0001,014163,1887,08,0.0,Y
IDCJAC0001,014163,1887,09,0.0,Y
IDCJAC0001,014163,1887,10,75.8,Y
IDCJAC0001,014163,1887,11,211.0,Y
IDCJAC0001,014163,1887,12,221.7,Y
IDCJAC0001,014163,1888,01,480.7,Y
IDCJAC0001,014163,1888,02,512.1,Y
IDCJAC0001,014163,1888,03,133.6,Y
IDCJAC0001,014163,1888,04,19.3,Y
IDCJAC0001,014163,1888,05,0.0,Y
IDCJAC0001,014163,1888,06,10.7,Y
IDCJAC0001,014163,1888,07,0.0,Y
IDCJAC0001,014163,1888,08,0.0,Y
IDCJAC0001,014163,1888,09,1.1,Y
IDCJAC0001,014163,1888,10,17.0,Y
IDCJAC0001,014163,1888,11,128.9,Y
IDCJAC0001,014163,1888,12,343.3,Y
IDCJAC0001,014163,1889,01,325.4,Y
IDCJAC0001,014163,1889,02,201.0,Y
IDCJAC0001,014163,1889,03,101.8,Y
IDCJAC0001,014163,1889,04,91.8,Y
IDCJAC0001,014163,1889,05,72.7,Y
IDCJAC0001,014163,1889,06,0.0,Y
IDCJAC0001,014163,1889,07,0.0,Y
IDCJAC0001,014163,1889,08,0.0,Y
IDCJAC0001,014163,1889,09,35.8,Y
IDCJAC0001,014163,1889,10,34.0,Y
IDCJAC0001,014163,1889,11,70.2,Y
IDCJAC0001,014163,1889,12,294.3,Y
IDCJAC0001,014163,1890,01,458.1,Y
IDCJAC0001,014163,1890,02,235.3,Y
IDCJAC0001,014163,1890,03,245.3,Y
IDCJAC0001,014163,1890,04,287.3,Y
IDCJAC0001,014163,1890,05,0.8,Y
IDCJAC0001,014163,1890,06,0.0,Y
IDCJAC0001,014163,1890,08,0.0,Y
IDCJAC0001,014163,1890,09,26.9,Y
IDCJAC0001,014163,1890,10,80.1,Y
IDCJAC0001,014163,1890,11,68.1,Y
IDCJAC0001,014163,1890,12,166.2,Y
IDCJAC0001,014163,1891,01,318.4,Y
IDCJAC0001,014163,1891,02,351.7,Y
IDCJAC0001,014163,1891,03,324.9,Y
IDCJAC0001,014163,1891,04,532.2,Y
IDCJAC0001,014163,1891,06,31.2,Y
IDCJAC0001,014163,1891,10,5.8,Y
IDCJAC0001,014163,1891,11,353.7,Y
IDCJAC0001,014163,1891,12,64.3,Y
IDCJAC0001,014163,1892,01,208.1,Y
IDCJAC0001,014163,1892,02,144.3,Y
IDCJAC0001,014163,1892,03,305.8,Y
IDCJAC0001,014163,1892,10,35.2,Y
IDCJAC0001,014163,1892,11,101.0,Y
IDCJAC0001,014163,1892,12,215.1,Y
IDCJAC0001,014163,1893,01,518.1,Y
IDCJAC0001,014163,1893,02,346.8,Y
IDCJAC0001,014163,1893,03,160.4,Y
IDCJAC0001,014163,1893,04,111.8,Y
IDCJAC0001,014163,1893,05,38.6,Y
IDCJAC0001,014163,1893,06,0.0,Y
IDCJAC0001,014163,1893,07,0.0,Y
IDCJAC0001,014163,1915,10,112.7,Y
IDCJAC0001,014163,1915,11,72.5,Y
IDCJAC0001,014163,1915,12,463.0,Y
