Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,086232,1964,04,50.7,Y
IDCJAC0001,086232,1964,05,75.2,Y
IDCJAC0001,086232,1964,06,33.3,Y
IDCJAC0001,086232,1964,07,66.9,Y
IDCJAC0001,086232,1964,08,60.6,Y
IDCJAC0001,086232,1964,09,81.7,Y
IDCJAC0001,086232,1964,10,76.9,Y
IDCJAC0001,086232,1964,11,37.2,Y
IDCJAC0001,086232,1964,12,92.2,Y
IDCJAC0001,086232,1965,01,14.6,Y
IDCJAC0001,086232,1965,02,0.8,Y
IDCJAC0001,086232,1965,03,16.3,Y
IDCJAC0001,086232,1965,04,121.4,Y
IDCJAC0001,086232,1965,05,80.6,Y
IDCJAC0001,086232,1965,06,29.8,Y
IDCJAC0001,086232,1965,07,71.5,Y
IDCJAC0001,086232,1965,08,100.4,Y
IDCJAC0001,086232,1965,09,49.6,Y
IDCJAC0001,086232,1965,10,21.6,Y
IDCJAC0001,086232,1965,11,66.1,Y
IDCJAC0001,086232,1965,12,88.8,Y
IDCJAC0001,086232,1966,01,45.3,Y
IDCJAC0001,086232,1966,02,48.7,Y
IDCJAC0001,086232,1966,03,69.0,Y
IDCJAC0001,086232,1966,04,58.4,Y
IDCJAC0001,086232,1966,05,47.4,Y
IDCJAC0001,086232,1966,06,41.0,Y
IDCJAC0001,086232,1966,07,60.1,Y
IDCJAC0001,086232,1966,08,65.7,Y
IDCJAC0001,086232,1966,09,60.0,Y
IDCJAC0001,086232,1966,10,67.1,Y
IDCJAC0001,086232,1966,11,47.5,Y
IDCJAC0001,086232,1966,12,105.9,Y
IDCJAC0001,086232,1967,01,21.2,Y
IDCJAC0001,086232,1967,02,3.9,Y
IDCJAC0001,086232,1967,03,16.6,Y
IDCJAC0001,086232,1967,04,17.5,Y
IDCJAC0001,086232,1967,05,47.9,Y
IDCJAC0001,086232,1967,06,46.1,Y
IDCJAC0001,086232,1967,07,35.0,Y
IDCJAC0001,086232,1967,08,68.0,Y
IDCJAC0001,086232,1967,09,51.5,Y
IDCJAC0001,086232,1967,10,20.3,Y
IDCJAC0001,086232,1967,11,20.1,Y
IDCJAC0001,086232,1967,12,40.1,Y
IDCJAC0001,086232,1968,01,48.3,Y
IDCJAC0001,086232,1968,02,6.6,Y
IDCJAC0001,086232,1968,03,24.6,Y
IDCJAC0001,086232,1968,04,67.2,Y
IDCJAC0001,086232,1968,05,100.0,Y
IDCJAC0001,086232,1968,06,56.9,Y
IDCJAC0001,086232,1968,07,39.7,Y
IDCJAC0001,086232,1968,08,40.0,Y
