Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,023000,1887,01,28.7,Y
IDCJAC0002,023000,1887,02,28.7,Y
IDCJAC0002,023000,1887,03,25.9,Y
IDCJAC0002,023000,1887,04,22.4,Y
IDCJAC0002,023000,1887,05,16.5,Y
IDCJAC0002,023000,1887,06,14.3,Y
IDCJAC0002,023000,1887,07,14.0,Y
IDCJAC0002,023000,1887,08,16.1,Y
IDCJAC0002,023000,1887,09,16.9,Y
IDCJAC0002,023000,1887,10,21.3,Y
IDCJAC0002,023000,1887,11,23.5,Y
IDCJAC0002,023000,1887,12,27.7,Y
IDCJAC0002,023000,1888,01,29.9,Y
IDCJAC0002,023000,1888,02,28.1,Y
IDCJAC0002,023000,1888,03,24.9,Y
IDCJAC0002,023000,1888,04,25.0,Y
IDCJAC0002,023000,1888,05,18.7,Y
IDCJAC0002,023000,1888,06,16.3,Y
IDCJAC0002,023000,1888,07,14.8,Y
IDCJAC0002,023000,1888,08,15.3,Y
IDCJAC0002,023000,1888,09,20.4,Y
IDCJAC0002,023000,1888,10,22.6,Y
IDCJAC0002,023000,1888,11,27.8,Y
IDCJAC0002,023000,1888,12,29.8,Y
IDCJAC0002,023000,1889,01,29.4,Y
IDCJAC0002,023000,1889,02,29.1,Y
IDCJAC0002,023000,1889,03,27.0,Y
IDCJAC0002,023000,1889,04,21.4,Y
IDCJAC0002,023000,1889,05,17.6,Y
IDCJAC0002,023000,1889,06,14.9,Y
IDCJAC0002,023000,1889,07,14.4,Y
IDCJAC0002,023000,1889,08,15.4,Y
IDCJAC0002,023000,1889,09,17.0,Y
IDCJAC0002,023000,1889,10,22.4,Y
IDCJAC0002,023000,1889,11,25.1,Y
IDCJAC0002,023000,1889,12,27.1,Y
IDCJAC0002,023000,1890,01,32.4,Y
IDCJAC0002,023000,1890,02,28.8,Y
IDCJAC0002,023000,1890,03,27.2,Y
IDCJAC0002,023000,1890,04,23.5,Y
IDCJAC0002,023000,1890,05,19.4,Y
IDCJAC0002,023000,1890,06,16.1,Y
IDCJAC0002,023000,1890,07,13.8,Y
IDCJAC0002,023000,1890,08,15.2,Y
IDCJAC0002,023000,1890,09,18.4,Y
IDCJAC0002,023000,1890,10,19.9,Y
IDCJAC0002,023000,1890,11,22.4,Y
IDCJAC0002,023000,1890,12,26.0,Y
IDCJAC0002,023000,1891,01,27.0,Y
IDCJAC0002,023000,1891,02,27.9,Y
IDCJAC0002,023000,1891,03,27.2,Y
IDCJAC0002,023000,1891,04,21.8,Y
IDCJAC0002,023000,1891,05,20.9,Y
IDCJAC0002,023000,1891,06,15.8,Y
IDCJAC0002,023000,1891,07,14.7,Y
IDCJAC0002,023000,1891,08,17.0,Y
IDCJAC0002,023000,1891,09,19.0,Y
IDCJAC0002,023000,1891,10,21.1,Y
IDCJAC0002,023000,1891,11,24.9,Y
IDCJAC0002,023000,1891,12,26.3,Y
IDCJAC0002,023000,1892,01,26.3,Y
IDCJAC0002,023000,1892,02,29.1,Y
IDCJAC0002,023000,1892,03,27.1,Y
IDCJAC0002,023000,1892,04,20.2,Y
IDCJAC0002,023000,1892,05,17.7,Y
IDCJAC0002,023000,1892,06,15.0,Y
IDCJAC0002,023000,1892,07,14.3,Y
IDCJAC0002,023000,1892,08,15.8,Y
IDCJAC0002,023000,1892,09,18.1,Y
IDCJAC0002,023000,1892,10,20.2,Y
IDCJAC0002,023000,1892,11,25.7,Y
IDCJAC0002,023000,1892,12,25.2,Y
IDCJAC0002,023000,1893,01,27.7,Y
IDCJAC0002,023000,1893,02,29.5,Y
