Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,070351,2008,09,21.0,Y
IDCJAC0002,070351,2008,10,23.5,Y
IDCJAC0002,070351,2008,11,23.8,Y
IDCJAC0002,070351,2008,12,25.4,Y
IDCJAC0002,070351,2009,01,31.3,Y
IDCJAC0002,070351,2009,02,29.3,Y
IDCJAC0002,070351,2009,03,27.1,Y
IDCJAC0002,070351,2009,04,19.9,Y
IDCJAC0002,070351,2009,05,16.7,Y
IDCJAC0002,070351,2009,06,12.9,Y
IDCJAC0002,070351,2009,07,12.6,Y
IDCJAC0002,070351,2009,08,14.7,Y
IDCJAC0002,070351,2009,09,17.7,Y
IDCJAC0002,070351,2009,10,19.1,Y
IDCJAC0002,070351,2009,11,29.4,Y
IDCJAC0002,070351,2009,12,29.2,Y
IDCJAC0002,070351,2010,01,31.8,Y
IDCJAC0002,070351,2010,02,27.5,Y
IDCJAC0002,070351,2010,03,24.6,Y
IDCJAC0002,070351,2010,04,21.1,Y
IDCJAC0002,070351,2010,05,16.6,Y
IDCJAC0002,070351,2010,06,13.0,Y
IDCJAC0002,070351,2010,07,12.8,Y
IDCJAC0002,070351,2010,08,12.3,Y
IDCJAC0002,070351,2010,09,16.3,Y
IDCJAC0002,070351,2010,10,19.6,Y
IDCJAC0002,070351,2010,11,22.5,Y
IDCJAC0002,070351,2010,12,25.0,Y
IDCJAC0002,070351,2011,01,28.8,Y
IDCJAC0002,070351,2011,02,26.7,Y
IDCJAC0002,070351,2011,03,23.3,Y
IDCJAC0002,070351,2011,04,19.6,Y
IDCJAC0002,070351,2011,05,15.8,Y
IDCJAC0002,070351,2011,06,13.6,Y
IDCJAC0002,070351,2011,07,12.3,Y
IDCJAC0002,070351,2011,08,16.0,Y
IDCJAC0002,070351,2011,09,18.2,Y
IDCJAC0002,070351,2011,10,20.6,Y
IDCJAC0002,070351,2011,11,25.4,Y
IDCJAC0002,070351,2011,12,23.6,Y
IDCJAC0002,070351,2012,01,27.5,Y
IDCJAC0002,070351,2012,02,25.0,Y
IDCJAC0002,070351,2012,03,22.1,Y
IDCJAC0002,070351,2012,04,20.2,Y
IDCJAC0002,070351,2012,05,15.6,Y
IDCJAC0002,070351,2012,06,12.9,Y
IDCJAC0002,070351,2012,07,13.0,Y
IDCJAC0002,070351,2012,08,13.6,Y
IDCJAC0002,070351,2012,09,18.0,Y
IDCJAC0002,070351,2012,10,20.8,Y
IDCJAC0002,070351,2012,11,25.4,Y
IDCJAC0002,070351,2012,12,27.7,Y
IDCJAC0002,070351,2013,01,32.3,Y
IDCJAC0002,070351,2013,02,27.4,Y
IDCJAC0002,070351,2013,03,25.7,Y
IDCJAC0002,070351,2013,04,22.1,Y
IDCJAC0002,070351,2013,05,17.4,Y
IDCJAC0002,070351,2013,06,13.9,Y
IDCJAC0002,070351,2013,07,13.4,Y
IDCJAC0002,070351,2013,08,14.8,Y
IDCJAC0002,070351,2013,09,19.9,Y
IDCJAC0002,070351,2013,10,21.9,Y
IDCJAC0002,070351,2013,11,23.8,Y
IDCJAC0002,070351,2013,12,28.5,Y
IDCJAC0002,070351,2014,01,31.6,Y
IDCJAC0002,070351,2014,02,29.4,Y
IDCJAC0002,070351,2014,03,24.2,Y
