Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,009225,1994,01,29.2,Y
IDCJAC0002,009225,1994,02,29.0,Y
IDCJAC0002,009225,1994,03,30.3,Y
IDCJAC0002,009225,1994,04,26.8,Y
IDCJAC0002,009225,1994,05,22.8,Y
IDCJAC0002,009225,1994,06,18.6,Y
IDCJAC0002,009225,1994,07,18.6,Y
IDCJAC0002,009225,1994,08,19.5,Y
IDCJAC0002,009225,1994,09,21.5,Y
IDCJAC0002,009225,1994,10,22.9,Y
IDCJAC0002,009225,1994,11,27.0,Y
IDCJAC0002,009225,1994,12,29.8,Y
IDCJAC0002,009225,1995,01,31.3,Y
IDCJAC0002,009225,1995,02,31.5,Y
IDCJAC0002,009225,1995,03,30.9,Y
IDCJAC0002,009225,1995,04,24.9,Y
IDCJAC0002,009225,1995,05,20.9,Y
IDCJAC0002,009225,1995,06,17.9,Y
IDCJAC0002,009225,1995,07,18.0,Y
IDCJAC0002,009225,1995,08,19.1,Y
IDCJAC0002,009225,1995,09,20.5,Y
IDCJAC0002,009225,1995,10,23.6,Y
IDCJAC0002,009225,1995,11,24.4,Y
IDCJAC0002,009225,1995,12,27.7,Y
IDCJAC0002,009225,1996,01,30.3,Y
IDCJAC0002,009225,1996,02,34.6,Y
IDCJAC0002,009225,1996,03,28.0,Y
IDCJAC0002,009225,1996,04,25.8,Y
IDCJAC0002,009225,1996,05,23.1,Y
IDCJAC0002,009225,1996,06,19.4,Y
IDCJAC0002,009225,1996,07,18.1,Y
IDCJAC0002,009225,1996,08,18.2,Y
IDCJAC0002,009225,1996,09,19.5,Y
IDCJAC0002,009225,1996,10,23.5,Y
IDCJAC0002,009225,1996,11,25.4,Y
IDCJAC0002,009225,1996,12,27.2,Y
IDCJAC0002,009225,1997,01,32.2,Y
IDCJAC0002,009225,1997,02,31.2,Y
IDCJAC0002,009225,1997,03,27.5,Y
IDCJAC0002,009225,1997,04,25.6,Y
IDCJAC0002,009225,1997,05,20.6,Y
IDCJAC0002,009225,1997,06,19.6,Y
IDCJAC0002,009225,1997,07,18.5,Y
IDCJAC0002,009225,1997,08,18.4,Y
IDCJAC0002,009225,1997,09,20.2,Y
IDCJAC0002,009225,1997,10,23.5,Y
IDCJAC0002,009225,1997,11,25.6,Y
IDCJAC0002,009225,1997,12,30.0,Y
IDCJAC0002,009225,1998,01,31.1,Y
IDCJAC0002,009225,1998,02,31.2,Y
IDCJAC0002,009225,1998,03,30.6,Y
IDCJAC0002,009225,1998,04,24.9,Y
IDCJAC0002,009225,1998,05,23.7,Y
IDCJAC0002,009225,1998,06,18.4,Y
IDCJAC0002,009225,1998,07,16.7,Y
IDCJAC0002,009225,1998,08,19.4,Y
IDCJAC0002,009225,1998,09,19.1,Y
IDCJAC0002,009225,1998,10,22.5,Y
IDCJAC0002,009225,1998,11,26.2,Y
IDCJAC0002,009225,1998,12,29.1,Y
IDCJAC0002,009225,1999,01,30.4,Y
IDCJAC0002,009225,1999,02,32.3,Y
IDCJAC0002,009225,1999,03,27.8,Y
IDCJAC0002,009225,1999,04,28.2,Y
IDCJAC0002,009225,1999,05,21.9,Y
IDCJAC0002,009225,1999,06,19.6,Y
IDCJAC0002,009225,1999,07,19.0,Y
IDCJAC0002,009225,1999,08,18.8,Y
IDCJAC0002,009225,1999,09,20.0,Y
IDCJAC0002,009225,1999,10,21.9,Y
IDCJAC0002,009225,1999,11,27.0,Y
IDCJAC0002,009225,1999,12,31.4,Y
IDCJAC0002,009225,2000,01,30.4,Y
IDCJAC0002,009225,2000,02,31.2,Y
IDCJAC0002,009225,2000,03,28.8,Y
IDCJAC0002,009225,2000,04,25.7,Y
IDCJAC0002,009225,2000,05,22.2,Y
IDCJAC0002,009225,2000,06,19.9,Y
IDCJAC0002,009225,2000,07,18.1,Y
IDCJAC0002,009225,2000,08,17.7,Y
IDCJAC0002,009225,2000,09,20.7,Y
IDCJAC0002,009225,2000,10,24.0,Y
IDCJAC0002,009225,2000,11,26.4,Y
IDCJAC0002,009225,2000,12,30.1,Y
IDCJAC0002,009225,2001,01,29.9,Y
IDCJAC0002,009225,2001,02,30.2,Y
IDCJAC0002,009225,2001,03,29.3,Y
IDCJAC0002,009225,2001,04,26.5,Y
IDCJAC0002,009225,2001,05,21.4,Y
IDCJAC0002,009225,2001,06,20.1,Y
IDCJAC0002,009225,2001,07,18.8,Y
IDCJAC0002,009225,2001,08,18.5,Y
IDCJAC0002,009225,2001,09,19.6,Y
IDCJAC0002,009225,2001,10,22.0,Y
IDCJAC0002,009225,2001,11,27.4,Y
IDCJAC0002,009225,2001,12,26.6,Y
IDCJAC0002,009225,2002,01,30.6,Y
IDCJAC0002,009225,2002,02,30.7,Y
IDCJAC0002,009225,2002,03,29.1,Y
IDCJAC0002,009225,2002,04,24.8,Y
IDCJAC0002,009225,2002,05,22.9,Y
IDCJAC0002,009225,2002,06,19.2,Y
IDCJAC0002,009225,2002,07,18.7,Y
IDCJAC0002,009225,2002,08,18.6,Y
IDCJAC0002,009225,2002,09,19.9,Y
IDCJAC0002,009225,2002,10,22.3,Y
IDCJAC0002,009225,2002,11,26.6,Y
IDCJAC0002,009225,2002,12,30.4,Y
IDCJAC0002,009225,2003,01,30.9,Y
IDCJAC0002,009225,2003,02,30.6,Y
IDCJAC0002,009225,2003,03,30.1,Y
IDCJAC0002,009225,2003,04,25.6,Y
IDCJAC0002,009225,2003,05,24.0,Y
IDCJAC0002,009225,2003,06,19.1,Y
IDCJAC0002,009225,2003,07,17.8,Y
IDCJAC0002,009225,2003,08,18.2,Y
IDCJAC0002,009225,2003,09,19.8,Y
IDCJAC0002,009225,2003,10,22.2,Y
IDCJAC0002,009225,2003,11,27.6,Y
IDCJAC0002,009225,2003,12,28.3,Y
IDCJAC0002,009225,2004,01,31.0,Y
IDCJAC0002,009225,2004,02,32.0,Y
IDCJAC0002,009225,2004,03,29.1,Y
IDCJAC0002,009225,2004,04,26.8,Y
IDCJAC0002,009225,2004,05,21.3,Y
IDCJAC0002,009225,2004,06,19.8,Y
IDCJAC0002,009225,2004,07,18.0,Y
IDCJAC0002,009225,2004,08,17.6,Y
IDCJAC0002,009225,2004,09,20.1,Y
IDCJAC0002,009225,2004,10,22.8,Y
IDCJAC0002,009225,2004,11,25.4,Y
IDCJAC0002,009225,2004,12,30.0,Y
IDCJAC0002,009225,2005,01,30.0,Y
IDCJAC0002,009225,2005,02,30.0,Y
IDCJAC0002,009225,2005,03,30.5,Y
IDCJAC0002,009225,2005,04,24.7,Y
IDCJAC0002,009225,2005,05,23.3,Y
IDCJAC0002,009225,2005,06,18.0,Y
IDCJAC0002,009225,2005,07,18.6,Y
IDCJAC0002,009225,2005,08,18.4,Y
IDCJAC0002,009225,2005,09,19.2,Y
IDCJAC0002,009225,2005,10,20.7,Y
IDCJAC0002,009225,2005,11,24.9,Y
IDCJAC0002,009225,2005,12,23.7,Y
IDCJAC0002,009225,2006,01,28.8,Y
IDCJAC0002,009225,2006,02,31.4,Y
IDCJAC0002,009225,2006,03,30.1,Y
IDCJAC0002,009225,2006,04,23.3,Y
IDCJAC0002,009225,2006,05,22.4,Y
IDCJAC0002,009225,2006,06,20.3,Y
IDCJAC0002,009225,2006,07,18.8,Y
IDCJAC0002,009225,2006,08,20.2,Y
IDCJAC0002,009225,2006,09,20.6,Y
IDCJAC0002,009225,2006,10,24.1,Y
IDCJAC0002,009225,2006,11,27.4,Y
IDCJAC0002,009225,2006,12,30.4,Y
IDCJAC0002,009225,2007,01,29.1,Y
IDCJAC0002,009225,2007,02,30.1,Y
IDCJAC0002,009225,2007,03,30.2,Y
IDCJAC0002,009225,2007,04,25.2,Y
IDCJAC0002,009225,2007,05,21.1,Y
IDCJAC0002,009225,2007,06,19.9,Y
IDCJAC0002,009225,2007,07,19.5,Y
IDCJAC0002,009225,2007,08,19.0,Y
IDCJAC0002,009225,2007,09,20.2,Y
IDCJAC0002,009225,2007,10,22.8,Y
IDCJAC0002,009225,2007,11,28.5,Y
IDCJAC0002,009225,2007,12,27.7,Y
IDCJAC0002,009225,2008,01,32.8,Y
IDCJAC0002,009225,2008,02,32.5,Y
IDCJAC0002,009225,2008,03,29.4,Y
IDCJAC0002,009225,2008,04,24.2,Y
IDCJAC0002,009225,2008,05,22.6,Y
IDCJAC0002,009225,2008,06,19.7,Y
IDCJAC0002,009225,2008,07,17.9,Y
IDCJAC0002,009225,2008,08,19.8,Y
IDCJAC0002,009225,2008,09,20.4,Y
IDCJAC0002,009225,2008,10,24.0,Y
IDCJAC0002,009225,2008,11,23.6,Y
IDCJAC0002,009225,2008,12,27.8,Y
IDCJAC0002,009225,2009,01,32.5,Y
IDCJAC0002,009225,2009,02,31.8,Y
IDCJAC0002,009225,2009,03,29.0,Y
IDCJAC0002,009225,2009,04,27.6,Y
IDCJAC0002,009225,2009,05,24.4,Y
IDCJAC0002,009225,2009,06,18.8,Y
IDCJAC0002,009225,2009,07,17.8,Y
IDCJAC0002,009225,2009,08,18.9,Y
IDCJAC0002,009225,2009,09,18.6,Y
IDCJAC0002,009225,2009,10,23.3,Y
IDCJAC0002,009225,2009,11,26.5,Y
IDCJAC0002,009225,2009,12,30.8,Y
IDCJAC0002,009225,2010,01,33.4,Y
IDCJAC0002,009225,2010,02,31.7,Y
IDCJAC0002,009225,2010,03,30.2,Y
IDCJAC0002,009225,2010,04,25.0,Y
IDCJAC0002,009225,2010,05,21.7,Y
IDCJAC0002,009225,2010,06,19.0,Y
IDCJAC0002,009225,2010,07,18.2,Y
IDCJAC0002,009225,2010,08,19.1,Y
IDCJAC0002,009225,2010,09,21.8,Y
IDCJAC0002,009225,2010,10,24.6,Y
IDCJAC0002,009225,2010,11,29.6,Y
IDCJAC0002,009225,2010,12,29.3,Y
IDCJAC0002,009225,2011,01,32.5,Y
