Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,066214,2017,10,24.9,Y
IDCJAC0002,066214,2017,11,24.8,Y
IDCJAC0002,066214,2017,12,28.6,Y
IDCJAC0002,066214,2018,01,28.5,Y
IDCJAC0002,066214,2018,02,28.1,Y
IDCJAC0002,066214,2018,03,27.4,Y
IDCJAC0002,066214,2018,04,26.7,Y
IDCJAC0002,066214,2018,05,22.2,Y
IDCJAC0002,066214,2018,06,17.7,Y
IDCJAC0002,066214,2018,07,19.9,Y
IDCJAC0002,066214,2018,08,19.3,Y
IDCJAC0002,066214,2018,09,21.0,Y
IDCJAC0002,066214,2018,10,21.9,Y
IDCJAC0002,066214,2018,11,25.0,Y
IDCJAC0002,066214,2018,12,27.1,Y
IDCJAC0002,066214,2019,01,29.6,Y
IDCJAC0002,066214,2019,02,27.7,Y
IDCJAC0002,066214,2019,03,26.9,Y
IDCJAC0002,066214,2019,04,25.1,Y
IDCJAC0002,066214,2019,05,22.7,Y
IDCJAC0002,066214,2019,06,18.6,Y
IDCJAC0002,066214,2019,07,19.8,Y
IDCJAC0002,066214,2019,08,19.5,Y
IDCJAC0002,066214,2019,09,22.0,Y
IDCJAC0002,066214,2019,10,24.7,Y
IDCJAC0002,066214,2019,11,27.0,Y
IDCJAC0002,066214,2019,12,28.1,Y
IDCJAC0002,066214,2020,01,29.0,Y
IDCJAC0002,066214,2020,02,27.5,Y
IDCJAC0002,066214,2020,03,25.6,Y
IDCJAC0002,066214,2020,04,24.5,Y
IDCJAC0002,066214,2020,05,20.3,Y
IDCJAC0002,066214,2020,06,18.7,Y
IDCJAC0002,066214,2020,07,18.2,Y
IDCJAC0002,066214,2020,08,19.5,Y
IDCJAC0002,066214,2020,09,22.7,Y
IDCJAC0002,066214,2020,10,24.2,Y
IDCJAC0002,066214,2020,11,26.1,Y
IDCJAC0002,066214,2020,12,26.1,Y
IDCJAC0002,066214,2021,01,27.4,Y
IDCJAC0002,066214,2021,02,26.7,Y
IDCJAC0002,066214,2021,03,25.5,Y
IDCJAC0002,066214,2021,04,24.3,Y
IDCJAC0002,066214,2021,05,20.9,Y
IDCJAC0002,066214,2021,06,18.1,Y
IDCJAC0002,066214,2021,07,18.2,Y
IDCJAC0002,066214,2021,08,20.7,Y
IDCJAC0002,066214,2021,09,22.5,Y
IDCJAC0002,066214,2021,10,24.2,Y
IDCJAC0002,066214,2021,11,23.2,Y
IDCJAC0002,066214,2021,12,26.1,Y
IDCJAC0002,066214,2022,01,27.7,Y
IDCJAC0002,066214,2022,02,26.7,Y
IDCJAC0002,066214,2022,03,24.8,Y
IDCJAC0002,066214,2022,04,23.7,Y
IDCJAC0002,066214,2022,05,20.8,Y
IDCJAC0002,066214,2022,06,18.3,Y
IDCJAC0002,066214,2022,07,17.0,Y
IDCJAC0002,066214,2022,08,19.8,Y
IDCJAC0002,066214,2022,09,20.6,Y
IDCJAC0002,066214,2022,10,22.6,Y
IDCJAC0002,066214,2022,11,24.3,Y
IDCJAC0002,066214,2022,12,25.1,Y
IDCJAC0002,066214,2023,01,26.7,Y
IDCJAC0002,066214,2023,02,27.5,Y
IDCJAC0002,066214,2023,03,27.6,Y
IDCJAC0002,066214,2023,04,23.0,Y
IDCJAC0002,066214,2023,05,20.1,Y
IDCJAC0002,066214,2023,06,18.6,Y
IDCJAC0002,066214,2023,07,19.9,Y
IDCJAC0002,066214,2023,08,20.1,Y
IDCJAC0002,066214,2023,09,23.7,Y
IDCJAC0002,066214,2023,10,25.7,Y
IDCJAC0002,066214,2023,11,24.8,Y
IDCJAC0002,066214,2023,12,28.2,Y
IDCJAC0002,066214,2024,01,28.3,Y
IDCJAC0002,066214,2024,02,28.2,Y
IDCJAC0002,066214,2024,03,27.4,Y
