gccsa_code,gccsa_name,Total asthma,Employed asthma,Australian asthma,Total COPD,Australian COPD,Foreigner asthma,Foreigner COPD
1GSYD,Greater Sydney,353656,176461,263188,63101,40132,88368,21806
1RNSW,Rest of NSW,271403,122833,246105,72543,60438,21667,9994
2GMEL,Greater Melbourne,386347,208830,292521,58925,37523,91496,20287
2RVIC,Rest of Vic,156014,73533,140299,38195,31287,13405,5734
3GBRI,Greater Brisbane,224233,116657,182163,46859,35004,40601,11007
3RQLD,Rest of Qld,212875,102552,181605,59756,46620,29017,11730
4GADE,Greater Adelaide,121331,60136,99461,25546,17031,20816,7994
4RSAU,Rest of SA,37619,16482,33572,10432,8168,3384,1916
5GPER,Greater Perth,155026,82550,113226,32447,18949,40854,12958
5RWAU,Rest of WA,39893,20169,33597,9532,6959,5787,2310
6GHOB,Greater Hobart,21649,10485,19272,4835,4002,2128,669
6RTAS,Rest of Tas,30398,12927,27371,9157,7537,2473,1277
7GDAR,Greater Darwin,8465,5102,6878,1719,1276,1513,410
7RNTE,Rest of NT,4429,2318,3906,942,819,492,114
8ACTE,Australian Capital Territory,40783,24215,33743,5990,4317,6897,1583
