gccsa_code,gccsa_name,Lung cancer total mortality,Lung cancer population,Lung cancer rate per 100k,All cancer total mortality,All cancer population
1GSYD,Greater Sydney,2927,11643129,25.14,17584,11643129
1RNSW,Rest of NSW,2535,6549243,38.71,14054,6549243
2GMEL,Greater Melbourne,2584,10573871,24.44,16140,10573871
2RVIC,Rest of Vic,1206,3431160,35.15,7444,3431160
3GBRI,Greater Brisbane,1343,5405545,24.84,7812,5405545
3RQLD,Rest of Qld,1695,5830805,29.07,9451,5830805
4GADE,Greater Adelaide,1001,3216942,31.12,6027,3216942
4RSAU,Rest of SA,282,924591,30.5,1906,924591
5GPER,Greater Perth,1239,4616735,26.84,6727,4616735
5RWAU,Rest of WA,303,1249369,24.25,1699,1249369
6GHOB,Greater Hobart,185,546096,33.88,1123,546096
6RTAS,Rest of Tas,281,734856,38.24,1563,734856
7GDAR,Greater Darwin,58,310513,18.68,261,310513
7RNTE,Rest of NT,48,242344,19.81,208,242344
8ACTE,Australian Capital Territory,175,925681,18.91,1178,925681
